model_name,type,margin,right_class,all_class,size_dataset,train/bbox_loss,train/cls_loss,train/dfl_loss,train/num_epochs,train/mean_time_epoch,train/total_time,val/precision,val/recall,val/mAP50,val/mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,test/accuracy,test/precision,test/recall,test/fscore,test/mAP50-95,test/precision-circle,test/recall-circle,test/fscore-circle,test/precision-rect,test/recall-rect,test/fscore-rect,test/mean_confidence,test/mean_IoU,dataset/mean_IoU_train,dataset/mean_IoU_val,dataset/missing_bbox_train,dataset/missing_bbox_val,dataset/wrong_cls_train,dataset/wrong_cls_val
yolo-0_5-85-95-50-bbox_larger_smaller,bbox_larger_smaller,0_5,85,95,50,1.2876,0.85513,0.97349,13,0.484652220591521,6.30047886768977,0.78581,0.8246,0.75944,0.46794,1.30567,0.83222,0.97582,0.993009545711731,0.994098192914177,0.998898395329196,0.99649251339347,0.970254340277889,0.99996328928047,1,0.99998164430331,0.988286223580341,0.997796305138282,0.993018495504057,0.581338534518919,0.965639164496372,0.958804289018163,0.960060845458938,0.0496642314220353,0.0487669200815872,0.149207951545271,0.150643274853801
yolo-0_5-85-95-50-bbox_larger,bbox_larger,0_5,85,95,50,0.89065,0.68119,0.86179,14,0.435380908988771,6.09533272584279,0.8077,0.84932,0.78014,0.6101,0.89571,0.6712,0.85686,0.998129401408451,0.99886213478197,0.999265596886131,0.999063825100501,0.59097160098701,0.99996328928047,1,0.99998164430331,0.997761303581914,0.998530870092188,0.998145938503901,0.69878396962449,0.78308775983978,0.96202958746845,0.961781108401477,0.0496642314220353,0.0487669200815872,0.149207951545271,0.150643274853801
yolo-0_5-85-95-50-bbox_smaller,bbox_smaller,0_5,85,95,50,1.0258,0.72696,0.86493,15,0.429310668839349,6.43966003259023,0.79478,0.83348,0.76889,0.54385,1.03814,0.72111,0.85726,0.987600291757841,0.993141893130891,0.994381816178901,0.993761467889908,0.58036118151692,0.999816473351931,1,0.999908228254685,0.986478563576402,0.988761156205237,0.987618541005558,0.636461655256243,0.772146727312033,0.942943905161802,0.94324041946595,0.0496642314220353,0.0487669200815872,0.149207951545271,0.150643274853801
yolo-0_10-95-100-100-bbox_larger_smaller,bbox_larger_smaller,0_10,95,100,100,1.8094,1.2252,1.1873,14,0.866491026253927,12.130874367555,0.76394,0.68093,0.71508,0.30841,1.82199,1.22817,1.19167,0.599783815473682,0.996438898189012,0.601072228546249,0.749831083015541,0.559256838901687,0.999764351022717,0.778773082712288,0.875539137792269,0.990375526338403,0.423293054688361,0.59309386578839,0.461961849000497,0.947434578270071,0.93305899255537,0.932601794362375,0,0,0.0490555381621515,0.0491561103519592
yolo-0_10-95-100-100-bbox_larger,bbox_larger,0_10,95,100,100,1.4088,0.59366,1.027,15,0.811373150878482,12.1705972631772,0.9479,0.94826,0.93121,0.58253,1.42053,0.57897,1.04048,0.631318566346815,0.772490352786262,0.775511328168032,0.773997892711531,0.266386159486573,0.93869534892258,0.938764271816146,0.938729809104258,0.607478679204024,0.612186432585301,0.609823470227751,0.691779965724106,0.649920612212142,0.921315151140856,0.920821070251232,0,0,0.0490555381621515,0.0491561103519592
yolo-0_10-95-100-100-bbox_smaller,bbox_smaller,0_10,95,100,100,1.7229,0.79265,1.0537,14,0.867692466860726,12.1476945360502,0.83559,0.66671,0.71655,0.34668,1.75103,0.78823,1.05673,0.540188911704312,0.836892067289339,0.603752799911872,0.70145799336597,0.205078454231408,0.865121263843131,0.800139505855575,0.831362526701251,0.78645390070922,0.407279538693209,0.536646744259201,0.550895421544961,0.64906746867694,0.909266620440989,0.909122093140493,0,0,0.0490555381621515,0.0491561103519592
yolo-0_15-95-100-10-bbox_larger_smaller,bbox_larger_smaller,0_15,95,100,10,2.1825,1.7983,1.3452,7,0.215690878459385,1.5098361492157,0.56879,0.44277,0.453,0.15651,2.23794,1.81891,1.39057,0.211837491509243,0.999566874566875,0.211856938273418,0.349613694894713,0.185202730228857,0.999544211485871,0.402547817467602,0.573948546154048,1,0.0210820141771036,0.0412934786518471,0.359902935937739,0.91287686354061,0.91010852373601,0.910769003321787,0,0,0.0489647969527554,0.045071454745328
yolo-0_15-95-100-10-bbox_larger,bbox_larger,0_15,95,100,10,1.724,0.8868,1.1777,14,0.141017537457602,1.97424552440643,0.93422,0.93819,0.93149,0.47246,1.74606,0.84817,1.19577,0.293561299311615,0.451322453573438,0.456468255425403,0.453880770038246,0.119623551242764,0.7022959463913,0.704100737912552,0.703197184131407,0.204586363309094,0.208726631652404,0.206635760385419,0.584852763166949,0.616312076038746,0.886605398571108,0.885761200246126,0,0,0.0489647969527554,0.045071454745328
yolo-0_15-95-100-10-bbox_smaller,bbox_smaller,0_15,95,100,10,2.1854,1.2544,1.1922,15,0.119819378323025,1.79729067484538,0.5869,0.41306,0.42564,0.16118,2.26357,1.22447,1.21522,0.355328257131829,0.888874259381172,0.371846656629824,0.524342726954991,0.096323383455026,0.9375,0.636587246227835,0.758281403738931,0.679179295873164,0.106989385536416,0.184858484579261,0.519029257693572,0.610527712050278,0.88238402869882,0.883610092140167,0,0,0.0489647969527554,0.045071454745328
yolo-0_15-90-85-100-bbox_larger_smaller,bbox_larger_smaller,0_15,90,85,100,2.1143,1.8602,1.356,15,0.819432484043969,12.2914872606595,0.5407,0.34529,0.35408,0.12879,2.1187,1.87038,1.37568,0.188224062276241,0.999902467570467,0.188227518084677,0.316815772802423,0.175950174053768,0.99990237235185,0.376004992841147,0.546502321114135,1,0.000367282476953025,0.000734295260124096,0.34552919800126,0.937706670892975,0.91053175315777,0.910776567763667,0.150628925026244,0.14852088488385,0.098460537727667,0.101450846869511
yolo-0_15-90-85-100-bbox_larger,bbox_larger,0_15,90,85,100,1.706,0.96536,1.1964,15,0.838548923333486,12.5782338500023,0.74394,0.88056,0.72593,0.3755,1.72552,0.92668,1.21421,0.306403868877222,0.476581151237258,0.461811038078802,0.469079855283279,0.114033179796024,0.71864332122013,0.718748852747898,0.718696083110018,0.218327785392598,0.204759980901311,0.211326333345969,0.501643221272123,0.603615788269635,0.885806028784185,0.8853495214039,0.150628925026244,0.14852088488385,0.098460537727667,0.101450846869511
yolo-0_15-90-85-100-bbox_smaller,bbox_smaller,0_15,90,85,100,2.1502,1.3174,1.2118,14,0.894622931877772,12.5247210462888,0.54741,0.37375,0.33763,0.12871,2.23795,1.25529,1.26861,0.307890410958904,0.983431538416662,0.309495832262329,0.470819891910009,0.0864192821878529,0.984224841341795,0.597819303204964,0.743833363785858,0.961409395973154,0.0210452859294083,0.0411889443985192,0.460707757031512,0.614789927045201,0.88259092875132,0.8819509400119,0.150628925026244,0.14852088488385,0.098460537727667,0.101450846869511
